IncidentID,Hour,Weather,RoadType,TrafficDensity,VisibilityKm,AverageSpeed,VehicleCount,Weekend,RoadCondition,Incident
TRF-00119,0,Fog,Highway,82,7.5,25,159,No,Good,Incident
TRF-00120,19,Rain,Urban,43,4.9,47,315,Yes,Poor,No Incident
TRF-00121,20,Clear,Residential,58,6.9,24,254,Yes,Poor,No Incident
TRF-00122,12,Storm,Urban,28,6.4,56,114,Yes,Fair,No Incident
TRF-00123,18,Clear,Residential,98,11.7,53,858,No,Fair,Incident
TRF-00124,7,Clear,Highway,87,14.7,86,104,No,Fair,Incident
TRF-00125,17,Storm,Highway,96,3.8,72,850,No,Fair,Incident
TRF-00126,11,Rain,Highway,40,4.7,85,568,No,Good,No Incident
TRF-00127,7,Clear,Highway,77,2.0,87,261,No,Good,Incident
TRF-00128,2,Rain,Urban,80,12.4,80,735,No,Good,Incident
TRF-00129,4,Storm,Urban,90,6.7,49,597,No,Good,Incident
TRF-00130,21,Storm,Industrial,26,2.0,69,103,Yes,Good,Incident
TRF-00131,10,Clear,Highway,27,13.4,35,537,No,Fair,No Incident
TRF-00132,23,Clear,Highway,77,7.9,75,609,Yes,Good,No Incident
TRF-00133,8,Clear,Residential,9,13.9,91,928,Yes,Good,Incident
TRF-00134,1,Clear,Highway,6,3.8,33,751,Yes,Fair,Incident
TRF-00135,6,Clear,Highway,82,7.5,20,182,Yes,Good,No Incident
TRF-00136,8,Clear,Highway,65,4.1,30,335,No,Good,Incident
TRF-00137,16,Rain,Residential,98,9.1,92,551,No,Good,Incident
TRF-00138,17,Clear,Urban,72,14.2,43,983,No,Good,Incident
TRF-00139,17,Clear,Highway,42,11.3,91,767,No,Good,Incident
TRF-00140,7,Fog,Residential,39,6.0,29,99,No,Poor,Incident
TRF-00141,9,Clear,Residential,60,8.7,77,124,No,Fair,No Incident
TRF-00142,13,Clear,Urban,84,3.4,76,624,Yes,Fair,Incident
TRF-00143,14,Rain,Highway,69,7.5,72,479,No,Fair,No Incident
TRF-00144,9,Clear,Urban,63,8.9,61,439,No,Good,No Incident
TRF-00145,4,Clear,Residential,85,14.1,70,823,No,Good,No Incident
TRF-00146,18,Rain,Residential,31,11.7,68,749,No,Fair,No Incident
TRF-00147,12,Clear,Urban,98,12.1,77,939,No,Poor,Incident
TRF-00148,23,Rain,Highway,79,7.8,55,637,Yes,Poor,Incident
TRF-00149,22,Clear,Urban,14,7.1,69,747,No,Poor,No Incident
TRF-00150,21,Storm,Residential,36,5.7,53,995,No,Fair,No Incident
TRF-00151,23,Clear,Residential,36,1.7,68,587,No,Poor,No Incident
TRF-00152,14,Storm,Residential,32,5.1,53,938,No,Fair,Incident
TRF-00153,7,Rain,Urban,23,3.8,77,332,No,Good,Incident
TRF-00154,3,Storm,Residential,39,8.4,99,64,No,Fair,Incident
TRF-00155,2,Clear,Residential,38,10.4,58,816,No,Good,No Incident
TRF-00156,22,Clear,Industrial,78,12.3,61,701,No,Good,No Incident
TRF-00157,6,Clear,Highway,42,7.7,94,256,No,Fair,No Incident
TRF-00158,0,Storm,Urban,74,14.3,63,556,Yes,Poor,Incident
TRF-00159,0,Clear,Urban,27,7.3,65,498,No,Good,No Incident
TRF-00160,7,Clear,Residential,56,10.9,22,657,No,Fair,No Incident
TRF-00161,23,Clear,Urban,57,2.3,99,603,No,Fair,No Incident
TRF-00162,6,Fog,Highway,97,4.0,75,494,No,Fair,No Incident
TRF-00163,2,Clear,Residential,47,8.9,89,363,No,Fair,Incident
TRF-00164,16,Clear,Urban,65,3.7,67,946,Yes,Fair,No Incident
TRF-00165,1,Clear,Highway,40,11.9,67,516,No,Good,No Incident
TRF-00166,11,Rain,Highway,42,7.0,26,935,Yes,Fair,No Incident
TRF-00167,2,Clear,Urban,44,2.9,57,177,No,Good,No Incident
TRF-00168,2,Clear,Urban,82,11.8,91,707,No,Fair,Incident
TRF-00169,8,Clear,Residential,65,12.4,32,296,Yes,Fair,No Incident
TRF-00170,0,Clear,Highway,63,2.0,42,196,No,Fair,No Incident
TRF-00171,20,Clear,Urban,8,4.9,71,668,Yes,Fair,No Incident
TRF-00172,14,Rain,Urban,80,11.0,76,775,No,Good,Incident
TRF-00173,22,Fog,Urban,48,12.2,91,621,No,Good,No Incident
TRF-00174,11,Clear,Urban,68,3.0,68,297,No,Fair,No Incident
TRF-00175,13,Rain,Urban,48,14.2,22,782,No,Poor,No Incident
TRF-00176,14,Clear,Residential,90,13.9,99,625,Yes,Good,Incident
TRF-00177,11,Clear,Highway,63,4.5,90,351,No,Good,No Incident
TRF-00178,13,Rain,Urban,95,10.7,87,818,No,Poor,Incident
TRF-00179,13,Clear,Industrial,37,12.0,78,803,No,Poor,Incident
TRF-00180,21,Clear,Urban,98,3.6,90,567,No,Good,No Incident
TRF-00181,7,Fog,Highway,47,11.1,99,483,No,Fair,No Incident
TRF-00182,22,Clear,Urban,78,14.1,34,371,No,Poor,No Incident
TRF-00183,4,Storm,Urban,35,9.1,46,313,Yes,Fair,Incident
TRF-00184,4,Clear,Residential,89,11.1,79,441,Yes,Fair,Incident
TRF-00185,6,Clear,Highway,79,5.2,53,336,Yes,Good,No Incident
TRF-00186,22,Clear,Residential,30,11.3,93,95,No,Fair,No Incident
TRF-00187,5,Fog,Highway,6,1.2,22,596,No,Fair,Incident
TRF-00188,18,Rain,Urban,82,2.9,99,334,No,Good,Incident
TRF-00189,13,Clear,Urban,35,4.0,34,753,No,Fair,No Incident
TRF-00190,15,Clear,Residential,94,7.4,82,116,Yes,Poor,Incident
TRF-00191,1,Clear,Urban,72,10.3,80,409,Yes,Good,No Incident
TRF-00192,15,Clear,Urban,44,2.5,35,305,Yes,Good,No Incident
TRF-00193,1,Clear,Residential,61,7.7,52,431,Yes,Good,No Incident
TRF-00194,13,Clear,Residential,17,9.9,61,983,Yes,Good,No Incident
TRF-00195,18,Rain,Urban,57,7.5,65,358,No,Fair,No Incident
TRF-00196,22,Clear,Residential,25,9.8,24,144,No,Good,No Incident
TRF-00197,23,Storm,Residential,18,12.2,95,995,No,Good,Incident
TRF-00198,5,Clear,Residential,47,2.9,68,998,No,Good,Incident
TRF-00199,18,Clear,Urban,27,13.3,96,79,No,Fair,No Incident
TRF-00200,14,Rain,Industrial,12,12.6,25,620,No,Poor,No Incident
TRF-00201,17,Clear,Residential,52,3.9,51,569,No,Good,No Incident
TRF-00202,19,Clear,Highway,76,7.8,52,724,No,Fair,Incident
TRF-00203,11,Clear,Residential,50,9.1,40,457,No,Fair,No Incident
TRF-00204,3,Clear,Residential,25,10.0,69,250,No,Good,No Incident
TRF-00205,18,Fog,Residential,55,7.2,80,770,No,Fair,Incident
TRF-00206,14,Clear,Highway,9,4.8,82,338,No,Good,No Incident
TRF-00207,3,Rain,Highway,55,14.4,70,651,No,Good,No Incident
TRF-00208,9,Clear,Residential,47,5.2,23,368,No,Good,No Incident
TRF-00209,3,Rain,Urban,59,4.7,71,73,Yes,Good,No Incident
TRF-00210,18,Fog,Urban,37,8.1,27,557,Yes,Fair,Incident
TRF-00211,8,Clear,Industrial,25,9.9,59,691,No,Fair,No Incident
TRF-00212,1,Clear,Urban,6,11.7,29,550,No,Fair,No Incident
TRF-00213,6,Clear,Highway,17,11.1,22,573,No,Poor,No Incident
TRF-00214,14,Clear,Highway,46,6.4,31,611,No,Good,No Incident
TRF-00215,14,Rain,Industrial,59,4.0,90,728,No,Good,Incident
TRF-00216,20,Storm,Highway,22,3.0,20,891,No,Poor,Incident
TRF-00217,8,Fog,Residential,46,8.8,48,479,No,Fair,Incident
TRF-00218,15,Clear,Urban,12,1.9,53,121,No,Good,No Incident
TRF-00219,22,Clear,Residential,40,13.0,37,528,No,Fair,No Incident
TRF-00220,7,Clear,Urban,10,12.8,50,826,No,Fair,No Incident
TRF-00221,0,Fog,Urban,24,13.6,20,734,No,Poor,No Incident
TRF-00222,15,Rain,Highway,65,11.0,24,826,No,Fair,No Incident
TRF-00223,14,Rain,Urban,71,7.5,21,782,Yes,Poor,No Incident
TRF-00224,8,Clear,Residential,80,8.9,84,930,No,Fair,Incident
TRF-00225,13,Clear,Urban,50,4.0,39,688,Yes,Good,No Incident
TRF-00226,16,Rain,Highway,14,5.2,80,159,Yes,Good,Incident
TRF-00227,19,Clear,Residential,86,5.7,29,189,No,Poor,Incident
TRF-00228,3,Clear,Highway,71,8.3,63,101,Yes,Good,Incident
TRF-00229,11,Clear,Residential,25,12.4,71,827,Yes,Fair,No Incident
TRF-00230,6,Rain,Urban,66,14.1,27,104,No,Fair,No Incident
TRF-00231,8,Clear,Urban,2,11.7,62,435,No,Good,No Incident
TRF-00232,0,Clear,Highway,56,11.7,93,241,No,Poor,Incident
TRF-00233,10,Clear,Urban,2,13.6,82,335,No,Fair,No Incident
TRF-00234,2,Rain,Highway,55,5.8,43,702,No,Fair,No Incident
TRF-00235,22,Clear,Highway,46,8.4,54,514,No,Good,No Incident
TRF-00236,13,Rain,Urban,71,13.9,59,328,No,Good,No Incident
TRF-00237,10,Clear,Highway,10,13.0,86,634,No,Good,No Incident
TRF-00238,5,Clear,Urban,22,6.3,72,280,Yes,Good,No Incident
TRF-00239,22,Clear,Highway,64,12.4,86,658,No,Good,No Incident
TRF-00240,12,Clear,Residential,29,5.6,51,914,No,Good,No Incident
TRF-00241,23,Storm,Highway,11,7.3,67,310,No,Fair,Incident
TRF-00242,15,Rain,Residential,50,14.8,53,207,No,Good,No Incident
TRF-00243,23,Rain,Urban,100,13.9,86,165,Yes,Fair,Incident
TRF-00244,21,Fog,Urban,72,14.9,68,601,No,Good,No Incident
TRF-00245,17,Clear,Residential,42,9.6,94,537,Yes,Poor,No Incident
TRF-00246,8,Rain,Highway,24,3.8,31,178,No,Fair,Incident
TRF-00247,18,Rain,Urban,11,6.8,67,338,No,Good,No Incident
TRF-00248,7,Rain,Highway,21,13.0,60,550,Yes,Fair,No Incident
TRF-00249,20,Fog,Urban,24,4.2,75,321,No,Good,No Incident
TRF-00250,7,Clear,Residential,51,3.4,52,878,No,Good,No Incident
TRF-00251,1,Clear,Residential,14,10.5,21,143,No,Good,No Incident
TRF-00252,2,Storm,Highway,40,4.5,45,563,No,Good,No Incident
TRF-00253,10,Clear,Urban,2,1.4,52,637,Yes,Fair,No Incident
TRF-00254,15,Storm,Residential,97,2.6,35,751,No,Good,Incident
TRF-00255,6,Clear,Urban,60,14.5,82,321,No,Poor,Incident
TRF-00256,19,Clear,Residential,48,6.2,49,360,No,Good,No Incident
TRF-00257,6,Fog,Highway,31,5.6,34,609,Yes,Good,No Incident
TRF-00258,11,Clear,Urban,74,9.3,62,699,Yes,Fair,No Incident
TRF-00259,8,Clear,Highway,41,9.6,74,918,No,Fair,No Incident
TRF-00260,13,Clear,Urban,10,15.0,61,570,No,Good,No Incident
TRF-00261,4,Clear,Urban,6,5.5,29,107,No,Good,No Incident
TRF-00262,23,Fog,Urban,29,9.4,50,659,No,Fair,No Incident
TRF-00263,22,Fog,Urban,17,5.2,42,658,No,Fair,No Incident
TRF-00264,16,Clear,Industrial,100,14.8,31,410,Yes,Poor,Incident
TRF-00265,12,Clear,Industrial,34,8.8,46,832,No,Good,No Incident
TRF-00266,17,Fog,Urban,80,5.1,83,362,No,Fair,Incident
TRF-00267,11,Clear,Highway,40,14.9,72,809,Yes,Good,No Incident
TRF-00268,21,Clear,Urban,83,10.7,26,651,No,Good,No Incident
TRF-00269,1,Clear,Residential,73,10.0,59,481,Yes,Fair,No Incident
TRF-00270,5,Storm,Residential,14,8.8,83,469,No,Fair,Incident
TRF-00271,10,Clear,Urban,34,12.5,68,610,Yes,Good,No Incident
TRF-00272,15,Clear,Urban,81,14.4,56,630,No,Fair,No Incident
TRF-00273,16,Clear,Industrial,95,10.0,85,104,No,Fair,Incident
TRF-00274,17,Clear,Highway,43,14.9,48,243,No,Fair,No Incident
TRF-00275,22,Rain,Residential,30,14.4,87,580,No,Good,No Incident
TRF-00276,20,Clear,Urban,5,3.4,99,346,Yes,Good,No Incident
TRF-00277,21,Rain,Urban,46,11.7,87,93,No,Good,No Incident
TRF-00278,8,Storm,Industrial,39,13.7,97,311,No,Good,No Incident
TRF-00279,16,Rain,Residential,97,2.6,60,250,Yes,Good,Incident
TRF-00280,16,Clear,Highway,69,3.7,31,132,No,Good,No Incident
TRF-00281,14,Clear,Industrial,41,3.4,94,88,No,Good,Incident
TRF-00282,14,Clear,Urban,44,8.4,84,751,No,Poor,No Incident
TRF-00283,12,Clear,Highway,30,2.1,21,234,Yes,Fair,No Incident
TRF-00284,9,Clear,Highway,56,3.6,55,135,No,Good,Incident
TRF-00285,3,Clear,Urban,82,4.7,65,321,No,Good,No Incident
TRF-00286,2,Rain,Highway,95,11.5,94,235,Yes,Fair,Incident
TRF-00287,0,Rain,Highway,40,4.0,52,557,No,Fair,No Incident
TRF-00288,8,Rain,Residential,10,14.0,79,634,No,Good,No Incident
TRF-00289,8,Clear,Highway,91,2.5,48,65,No,Poor,Incident
TRF-00290,23,Clear,Residential,54,9.9,59,833,Yes,Good,No Incident
TRF-00291,5,Rain,Urban,11,7.8,94,916,Yes,Good,No Incident
TRF-00292,5,Clear,Highway,20,3.0,59,255,No,Good,No Incident
TRF-00293,1,Clear,Residential,14,5.6,38,728,No,Good,No Incident
TRF-00294,2,Fog,Highway,74,10.7,69,722,Yes,Poor,Incident
TRF-00295,15,Storm,Highway,34,9.1,50,470,No,Good,No Incident
TRF-00296,8,Rain,Industrial,38,4.6,32,740,No,Fair,No Incident
TRF-00297,14,Fog,Urban,61,7.9,33,455,No,Fair,No Incident
TRF-00298,2,Rain,Residential,84,3.0,26,568,Yes,Good,Incident
TRF-00299,18,Clear,Residential,78,3.2,90,178,No,Good,Incident
TRF-00300,6,Fog,Residential,56,5.4,85,436,No,Good,No Incident
TRF-00301,1,Rain,Urban,50,4.6,96,179,No,Good,No Incident
TRF-00302,21,Clear,Highway,58,5.8,78,981,Yes,Good,No Incident
TRF-00303,8,Storm,Urban,80,11.5,58,684,No,Poor,Incident
TRF-00304,7,Storm,Urban,95,1.3,83,623,No,Good,Incident
TRF-00305,1,Clear,Residential,40,10.1,47,138,Yes,Poor,No Incident
TRF-00306,14,Clear,Urban,75,2.5,78,429,No,Poor,Incident
TRF-00307,6,Clear,Urban,10,14.8,52,874,Yes,Fair,No Incident
TRF-00308,5,Clear,Industrial,21,2.4,92,235,No,Good,Incident
TRF-00309,16,Clear,Urban,43,9.1,60,603,No,Good,No Incident
TRF-00310,16,Clear,Highway,89,11.6,90,447,No,Good,Incident
TRF-00311,3,Storm,Industrial,24,2.0,67,599,Yes,Good,No Incident
TRF-00312,3,Rain,Residential,28,5.7,41,874,No,Fair,No Incident
TRF-00313,5,Storm,Urban,8,8.6,74,240,No,Good,No Incident
TRF-00314,18,Rain,Highway,49,12.7,60,182,Yes,Fair,No Incident
TRF-00315,6,Clear,Residential,49,7.1,64,279,No,Good,No Incident
TRF-00316,10,Fog,Urban,25,4.3,94,654,No,Poor,Incident
TRF-00317,3,Clear,Urban,15,10.9,49,891,No,Fair,No Incident
TRF-00318,4,Storm,Urban,35,1.4,59,647,Yes,Good,Incident
TRF-00319,15,Clear,Urban,60,11.1,60,828,No,Fair,No Incident
TRF-00320,18,Clear,Urban,19,3.2,87,968,No,Poor,Incident
TRF-00321,20,Rain,Urban,93,7.7,82,627,No,Fair,Incident
TRF-00322,13,Clear,Urban,68,6.4,59,661,No,Good,No Incident
TRF-00323,6,Clear,Residential,97,5.6,53,874,No,Fair,Incident
TRF-00324,10,Clear,Residential,100,9.1,29,256,No,Fair,No Incident
TRF-00325,3,Clear,Highway,27,7.7,40,889,Yes,Poor,No Incident
TRF-00326,5,Rain,Highway,79,13.1,75,353,Yes,Good,No Incident
TRF-00327,11,Rain,Industrial,88,10.4,50,621,No,Good,No Incident
TRF-00328,18,Clear,Highway,24,7.2,59,441,No,Good,No Incident
TRF-00329,6,Clear,Residential,52,1.9,60,567,No,Good,No Incident
TRF-00330,8,Clear,Urban,60,1.3,72,750,No,Good,Incident
TRF-00331,0,Clear,Industrial,49,2.5,93,102,No,Fair,Incident
TRF-00332,1,Rain,Urban,51,12.8,70,865,No,Good,No Incident
TRF-00333,13,Clear,Highway,7,4.8,60,195,No,Fair,No Incident
TRF-00334,23,Clear,Urban,21,8.6,25,459,No,Good,No Incident
TRF-00335,13,Clear,Residential,40,8.2,56,412,Yes,Fair,No Incident
TRF-00336,0,Clear,Highway,71,6.3,37,791,No,Good,No Incident
TRF-00337,13,Clear,Urban,43,8.8,36,686,No,Good,No Incident
TRF-00338,2,Clear,Urban,90,12.5,68,595,Yes,Fair,No Incident
TRF-00339,16,Rain,Residential,95,9.8,84,673,Yes,Good,Incident
TRF-00340,11,Clear,Urban,8,10.3,52,263,Yes,Poor,No Incident
TRF-00341,8,Clear,Highway,34,14.3,52,764,No,Fair,Incident
TRF-00342,4,Clear,Residential,76,9.2,42,866,No,Fair,No Incident
TRF-00343,4,Rain,Industrial,85,5.3,75,951,No,Good,No Incident
TRF-00344,8,Clear,Residential,41,1.2,100,519,No,Good,No Incident
TRF-00345,10,Rain,Highway,21,4.8,97,794,Yes,Poor,Incident
TRF-00346,13,Fog,Urban,33,8.8,28,195,No,Fair,No Incident
TRF-00347,16,Clear,Residential,4,13.4,83,437,Yes,Poor,No Incident
TRF-00348,22,Clear,Residential,100,2.2,70,321,Yes,Fair,Incident
TRF-00349,0,Rain,Residential,21,3.1,22,226,No,Good,No Incident
TRF-00350,22,Rain,Urban,31,6.6,72,505,Yes,Good,No Incident
TRF-00351,13,Rain,Industrial,98,5.3,37,239,Yes,Fair,Incident
TRF-00352,1,Clear,Highway,53,6.0,100,833,Yes,Fair,No Incident
TRF-00353,20,Rain,Urban,59,7.1,50,729,No,Good,No Incident
TRF-00354,20,Clear,Industrial,63,10.4,47,350,No,Poor,No Incident
TRF-00355,6,Clear,Residential,61,3.9,91,511,Yes,Poor,Incident
TRF-00356,4,Rain,Urban,83,11.3,73,954,Yes,Fair,No Incident
TRF-00357,7,Clear,Urban,39,8.6,44,679,No,Fair,No Incident
TRF-00358,19,Fog,Urban,37,1.8,97,496,Yes,Poor,Incident
TRF-00359,22,Clear,Urban,50,13.5,49,137,No,Good,No Incident
TRF-00360,7,Clear,Highway,80,6.3,23,253,No,Good,Incident
TRF-00361,11,Clear,Urban,5,11.5,87,303,No,Fair,No Incident
TRF-00362,17,Clear,Residential,23,10.3,58,802,No,Fair,No Incident
TRF-00363,4,Clear,Residential,13,4.9,87,51,No,Good,No Incident
TRF-00364,17,Clear,Highway,97,10.7,54,699,Yes,Good,No Incident
TRF-00365,5,Storm,Urban,35,1.9,84,378,Yes,Fair,Incident
TRF-00366,20,Fog,Urban,52,4.0,47,888,Yes,Poor,Incident
TRF-00367,3,Fog,Residential,43,13.6,64,339,No,Poor,Incident
