vehicle_age_years,engine_vibration,battery_health_pct,mileage_km_per_l,service_count,class
23.68,4.16,93.3,7.76,14.93,Excellent
11.36,4.69,93.54,7.76,15.28,Excellent
129.02,9.46,53.28,3.8,3.96,Poor
27.86,4.36,87.71,7.99,12.68,Excellent
13.85,4.06,93.76,7.66,15.76,Excellent
35.94,5.18,74.27,6.26,6.95,Good
108.56,7.77,54.11,3.76,2.79,Poor
99.97,10.13,55.29,4.2,1.77,Poor
110.14,9.48,50.88,4.58,2.22,Poor
106.36,9.94,53.35,4.26,2.83,Poor
28.46,4.45,88.65,7.76,14.99,Excellent
44.18,6.4,74.1,6.55,7.87,Good
117.54,9.44,57.09,3.63,3.31,Poor
44.71,5.96,74.74,6.15,9.52,Good
57.75,6.92,76.26,6.21,8.17,Good
65.32,5.61,80.8,6.47,7.97,Good
23.42,4.27,94.65,7.59,14.32,Excellent
45.78,5.29,74.32,6.9,10.45,Good
43.88,5.37,70.71,6.47,9.62,Good
52.95,7.28,76.77,5.95,7.01,Good
23.42,3.9,92.86,8.02,13.93,Excellent
96.34,8.07,45.57,4.81,2.34,Poor
20.87,4.43,85.42,7.64,12.52,Excellent
37.97,5.24,75.72,6.53,9.06,Good
41.1,6.37,70.1,5.66,5.98,Good
46.05,6.7,79.85,5.39,10.26,Good
53.61,6.63,70.64,5.98,7.68,Good
106.12,9.19,48.74,4.86,2.09,Poor
65.58,5.27,73.05,6.09,6.96,Good
63.73,5.41,74.25,6.32,8.66,Good
11.34,4.61,88.58,7.74,15.99,Excellent
110.45,9.38,48.35,4.02,1.9,Poor
108.91,10.12,48.52,3.93,2.14,Poor
14.46,4.5,90.38,7.72,13.34,Excellent
97.41,9.58,50.17,4.76,4.69,Poor
135.8,8.79,50.97,4.83,3.01,Poor
39.99,5.1,79.91,5.44,7.42,Good
14.45,4.83,84.82,7.39,14.85,Excellent
43.91,5.16,77.87,6.41,10.09,Good
119.04,9.0,56.12,3.84,-0.02,Poor
117.19,8.63,51.42,3.83,3.1,Poor
127.39,9.26,41.29,3.97,1.9,Poor
134.52,11.18,57.0,3.57,2.18,Poor
104.08,9.17,45.88,5.16,3.18,Poor
116.21,8.41,47.38,4.42,4.09,Poor
40.97,5.09,64.39,6.67,7.53,Good
120.86,10.9,46.74,3.85,4.94,Poor
29.21,5.46,64.24,5.98,7.33,Good
113.29,9.49,50.87,4.05,2.42,Poor
50.04,6.07,74.43,7.08,8.81,Good
122.3,9.57,53.0,4.42,3.08,Poor
19.27,4.76,96.92,7.96,15.38,Excellent
19.51,3.75,90.69,7.39,12.03,Excellent
15.49,3.1,92.13,8.6,13.79,Excellent
19.68,3.48,90.57,8.02,15.65,Excellent
46.97,5.85,74.59,5.7,10.79,Good
43.7,6.12,75.96,5.92,8.35,Good
108.22,9.49,48.55,4.24,2.14,Poor
130.73,8.88,47.13,3.56,3.26,Poor
25.13,3.58,85.93,7.76,15.16,Excellent
9.13,3.87,93.87,7.77,15.64,Excellent
16.56,5.35,89.91,7.42,17.08,Excellent
39.92,6.76,73.75,6.8,7.21,Good
44.1,6.18,74.38,6.31,2.99,Good
40.92,6.7,68.11,5.67,5.0,Good
25.61,4.21,86.72,7.36,14.71,Excellent
103.21,9.53,63.07,4.21,1.95,Poor
15.13,3.96,91.91,7.85,14.59,Excellent
35.01,5.59,71.96,6.31,11.76,Good
21.98,4.23,100.04,7.65,15.23,Excellent
120.9,9.93,57.61,4.94,3.84,Poor
40.89,5.06,73.68,5.41,6.17,Good
103.81,9.76,48.46,4.0,3.0,Poor
114.05,8.94,52.04,4.64,1.2,Poor
56.75,6.79,64.0,6.33,7.43,Good
122.33,10.03,48.99,4.71,3.38,Poor
105.48,10.14,52.01,5.62,3.74,Poor
53.19,7.26,72.29,6.22,10.17,Good
10.03,3.97,91.45,8.21,14.77,Excellent
106.16,9.33,58.27,2.94,3.39,Poor
113.94,9.52,54.5,4.2,3.07,Poor
56.93,5.94,73.69,6.36,6.86,Good
53.22,5.98,69.99,5.71,9.15,Good
109.85,8.32,52.29,3.72,3.2,Poor
62.71,5.34,76.43,6.16,7.58,Good
91.88,9.06,40.47,4.08,1.67,Poor
49.37,7.03,78.72,5.75,6.77,Good
22.95,4.84,94.44,8.11,14.41,Excellent
130.86,10.99,51.61,4.94,1.69,Poor
42.87,5.82,62.7,6.18,9.66,Good
136.12,9.26,43.97,3.51,4.44,Poor
139.62,7.98,52.51,3.83,3.7,Poor
29.95,4.83,87.66,6.94,11.66,Excellent
104.69,9.51,41.68,5.23,0.83,Poor
21.98,4.23,100.04,7.65,15.23,Excellent
20.59,4.21,90.58,7.0,15.03,Excellent
112.36,9.21,53.61,4.7,5.02,Poor
15.26,4.04,85.69,7.89,14.04,Excellent
58.1,6.44,70.87,5.66,8.07,Good
136.25,8.3,60.24,4.34,1.46,Poor
139.83,8.88,50.57,4.48,4.31,Poor
113.76,9.26,43.75,4.32,0.81,Poor
34.95,4.48,71.1,6.4,5.98,Good
26.16,4.02,97.7,8.18,18.69,Excellent
37.57,5.29,70.39,6.14,9.4,Good
18.57,4.41,87.45,7.33,17.15,Excellent
31.29,6.92,62.96,5.79,6.31,Good
27.74,3.93,89.17,8.2,12.89,Excellent
101.07,8.95,51.44,3.55,2.39,Poor
98.24,8.75,49.0,3.8,4.41,Poor
36.67,6.34,76.99,6.34,10.03,Good
107.7,7.58,53.4,4.94,2.28,Poor
4.76,4.17,93.65,7.49,15.99,Excellent
24.15,4.04,86.92,7.58,13.46,Excellent
2.74,3.02,89.38,8.02,16.36,Excellent
28.76,3.69,86.64,8.31,17.55,Excellent
101.1,9.52,54.22,4.83,2.24,Poor
129.28,10.4,61.93,4.77,3.0,Poor
113.35,9.42,47.93,4.53,3.67,Poor
108.22,9.49,48.55,4.24,2.14,Poor
94.66,8.5,57.1,4.59,4.52,Poor
27.45,4.15,95.35,7.67,15.13,Excellent
5.35,4.51,98.99,7.87,13.84,Excellent
49.35,6.35,82.25,6.29,9.05,Good
119.79,7.96,48.98,4.03,2.94,Poor
52.76,6.78,77.24,5.67,5.87,Good
22.68,3.46,94.37,8.08,16.77,Excellent
54.39,5.63,74.41,6.39,7.02,Good
-1.87,4.41,87.53,7.03,14.09,Excellent
12.13,3.31,88.38,7.52,13.85,Excellent
112.49,8.91,46.17,3.31,2.7,Poor
59.26,5.92,72.43,6.93,5.09,Good
119.17,9.87,45.75,4.78,2.93,Poor
51.75,6.43,76.35,6.47,7.71,Good
82.71,8.56,55.25,4.87,2.65,Poor
48.58,6.61,80.74,6.8,5.8,Good
89.1,9.31,56.49,4.98,3.41,Poor
23.45,5.74,72.55,5.86,6.52,Good
20.39,5.94,63.53,5.0,5.34,Good
23.98,4.96,87.03,7.63,16.95,Excellent
11.79,4.13,90.56,8.23,13.2,Excellent
48.97,5.24,79.03,6.35,8.73,Good
54.13,6.46,74.38,6.31,7.79,Good
30.97,6.41,66.58,6.54,6.86,Good
30.03,4.68,91.11,7.48,15.05,Excellent
122.7,9.19,43.44,4.24,2.36,Poor
55.01,6.66,85.6,6.2,7.96,Good
32.28,5.74,76.31,6.22,7.8,Good
112.99,9.04,41.42,5.62,3.78,Poor
61.13,7.69,71.02,6.04,5.65,Good
26.5,5.46,98.62,7.22,17.07,Excellent
7.97,4.83,97.38,7.34,14.0,Excellent
130.73,8.79,55.9,4.69,1.88,Poor
62.59,5.71,67.28,5.29,7.22,Good
25.02,3.63,91.46,8.61,14.63,Excellent
15.62,4.58,92.69,8.3,12.5,Excellent
23.33,3.46,81.98,7.94,18.07,Excellent
88.38,9.65,56.93,3.88,2.69,Poor
126.81,8.41,46.88,4.89,3.35,Poor
19.25,3.66,89.11,8.3,14.01,Excellent
24.23,2.87,97.93,6.94,15.02,Excellent
13.22,3.87,94.8,7.55,13.51,Excellent
83.41,9.64,57.31,3.84,3.23,Poor
3.03,3.46,91.92,7.36,15.56,Excellent
52.46,7.39,77.49,4.78,8.89,Good
52.49,6.88,73.23,6.49,8.75,Good
16.08,4.14,88.66,8.06,17.39,Excellent
20.39,4.96,80.56,7.32,18.08,Excellent
16.26,4.03,95.8,8.11,12.35,Excellent
113.58,9.65,51.09,4.53,3.64,Poor
64.0,6.05,74.93,6.77,9.35,Good
59.01,5.02,76.56,5.55,9.18,Good
139.74,7.57,53.08,4.59,3.34,Poor
27.56,4.59,91.21,8.06,15.7,Excellent
12.18,3.74,92.45,8.26,16.35,Excellent
9.76,3.41,90.29,8.37,17.59,Excellent
105.67,8.72,45.82,4.31,4.19,Poor
19.66,4.39,90.19,7.55,15.42,Excellent
93.94,9.21,49.24,4.15,1.57,Poor
120.66,8.05,49.33,3.74,3.68,Poor
56.04,7.83,70.36,5.57,9.38,Good
25.26,5.14,95.33,7.87,11.59,Excellent
131.6,10.32,55.79,3.92,2.85,Poor
101.0,9.67,53.46,4.33,3.76,Poor
97.91,9.08,45.55,4.35,3.44,Poor
11.57,4.54,89.08,7.17,11.61,Excellent
10.78,4.19,89.49,8.21,15.01,Excellent
41.16,6.47,70.73,5.77,9.98,Good
25.97,3.34,89.99,8.09,14.42,Excellent
110.99,10.32,54.92,4.95,3.56,Poor
56.11,5.34,74.66,6.44,10.08,Good
119.44,7.24,49.84,3.59,3.06,Poor
90.81,7.47,56.51,4.53,3.83,Poor
83.96,9.26,50.91,4.64,2.21,Poor
20.78,4.23,82.28,7.97,14.75,Excellent
10.3,3.03,90.18,7.83,13.98,Excellent
36.13,6.31,69.15,5.65,7.67,Good
91.42,10.43,55.06,4.31,1.67,Poor
16.27,3.94,86.18,7.28,19.13,Excellent
16.83,3.46,97.08,7.52,12.54,Excellent
100.11,9.24,47.09,5.15,3.4,Poor
34.28,4.95,75.9,5.57,9.01,Good
48.66,6.83,67.02,6.46,8.67,Good
115.62,9.54,53.04,4.08,3.2,Poor
19.39,3.74,91.29,7.68,16.31,Excellent
81.19,8.37,60.89,4.88,2.06,Poor
3.58,4.6,87.34,8.18,16.98,Excellent
51.14,4.19,77.63,5.13,10.88,Good
43.86,6.03,70.65,6.71,7.01,Good
116.14,8.82,50.98,4.05,3.07,Poor
111.1,8.74,55.06,3.83,2.63,Poor
23.39,4.33,93.34,7.24,13.57,Excellent
37.57,5.23,64.83,6.19,7.07,Good
10.13,4.45,92.5,8.27,13.99,Excellent
36.98,5.93,74.82,6.35,7.49,Good
12.1,4.4,95.41,8.53,15.28,Excellent
16.0,4.83,85.2,7.5,12.32,Excellent
54.17,6.65,68.69,6.35,9.54,Good
46.98,5.06,87.61,6.59,9.39,Good
52.76,6.25,79.55,6.89,8.35,Good
53.94,7.18,80.44,5.74,5.84,Good
47.92,6.58,72.38,6.42,5.17,Good
135.51,8.56,56.5,4.23,2.25,Poor
