StudentId,Placed,Age,CGPA,Internships,Projects,AptitudeScore,CommunicationScore,Attendance,Backlogs,Branch,Gender,TrainingCompleted
3130,0,21.1,5.8,0.0,2.0,69.4,74.0,100.0,0.0,ECE,Female,No
3131,0,21.5,7.89,0.0,1.0,66.6,73.5,81.8,0.0,EEE,Male,No
3132,0,22.1,6.57,1.0,1.0,64.3,83.2,69.2,1.0,EEE,Female,Yes
3133,1,19.9,7.08,3.0,2.0,70.3,72.1,80.8,0.0,ME,Female,No
3134,1,21.3,,0.0,1.0,92.5,80.2,98.9,1.0,ME,Male,Yes
3135,1,20.8,5.98,2.0,5.0,85.8,61.6,91.8,0.0,CSE,Male,No
3136,0,22.7,7.22,0.0,1.0,63.3,91.4,76.2,1.0,CSE,Female,Yes
3137,1,23.8,7.37,0.0,0.0,78.2,73.6,79.3,2.0,ECE,Male,No
3138,1,20.5,7.46,1.0,4.0,77.5,,89.0,0.0,Civil,Female,Yes
3139,1,23.2,7.4,1.0,2.0,62.7,71.8,86.3,2.0,CSE,Female,No
3140,1,19.6,8.06,2.0,3.0,67.6,72.4,89.1,0.0,ECE,Male,No
3141,1,21.8,7.05,2.0,2.0,75.5,71.6,79.8,1.0,EEE,Female,Yes
3142,1,21.8,7.87,2.0,1.0,57.8,40.1,85.5,1.0,ECE,Male,No
3143,1,19.6,7.83,1.0,,64.6,62.9,79.3,0.0,CSE,Male,Yes
3144,0,20.4,7.79,0.0,2.0,65.2,52.0,,2.0,CSE,Male,No
3145,0,20.3,8.03,0.0,0.0,,52.2,68.3,1.0,CSE,Male,Yes
3146,0,19.8,7.78,0.0,0.0,63.7,72.2,68.3,0.0,CSE,Female,No
3147,1,18.0,7.41,2.0,7.0,74.2,62.7,75.6,0.0,CSE,Female,No
3148,0,21.2,6.23,2.0,2.0,68.4,65.3,75.9,1.0,EEE,Female,Yes
3149,1,21.4,8.86,3.0,3.0,77.0,58.4,68.3,2.0,Civil,Female,Yes
3150,1,21.4,9.19,2.0,1.0,100.0,87.9,66.6,1.0,EEE,Male,No
3151,1,22.5,7.14,1.0,2.0,60.5,70.5,91.6,0.0,EEE,Male,No
3152,0,19.0,7.96,0.0,3.0,71.0,50.2,80.5,0.0,ECE,Female,No
3153,0,21.0,6.95,2.0,2.0,75.1,78.4,79.8,1.0,CSE,Female,Yes
3154,0,24.8,6.78,1.0,2.0,83.3,65.5,82.5,0.0,CSE,Male,Yes
3155,0,22.7,7.56,1.0,0.0,74.1,85.5,96.4,,CSE,Female,No
3156,1,22.7,10.0,0.0,2.0,52.7,69.9,83.0,,ME,Male,No
3157,0,20.2,9.1,0.0,2.0,58.7,61.0,81.0,,Civil,Male,No
3158,1,21.2,8.95,2.0,5.0,70.1,63.0,76.3,2.0,ECE,Female,Yes
3159,0,18.5,8.02,1.0,0.0,58.3,64.8,87.4,0.0,CSE,Male,Yes
3160,0,22.3,6.58,1.0,2.0,47.3,76.4,81.4,0.0,ECE,Male,No
3161,1,23.3,8.54,5.0,5.0,56.7,59.8,96.9,0.0,ECE,Female,Yes
3162,0,19.6,5.0,2.0,4.0,56.8,86.2,80.6,0.0,ECE,Female,No
3163,1,20.0,7.89,3.0,4.0,53.9,74.8,91.1,,EEE,Female,Yes
3164,1,21.5,8.6,0.0,2.0,100.0,72.9,75.6,2.0,ME,Male,Yes
3165,1,21.7,,1.0,1.0,72.4,70.9,75.5,0.0,EEE,Male,No
3166,0,20.8,9.16,1.0,0.0,69.6,69.7,65.6,1.0,ECE,Male,Yes
3167,0,20.4,6.07,2.0,2.0,80.9,,89.2,0.0,Civil,Female,Yes
3168,1,20.5,9.1,0.0,3.0,93.2,73.8,81.7,1.0,EEE,Female,No
3169,0,21.4,7.34,1.0,4.0,73.4,95.0,87.8,3.0,ECE,Female,No
3170,1,22.3,8.95,2.0,4.0,82.2,79.0,97.3,0.0,ECE,Female,No
3171,1,21.4,8.52,1.0,2.0,61.0,75.7,74.4,0.0,ME,Male,No
3172,1,21.3,9.01,1.0,,55.3,50.0,73.0,0.0,ECE,Male,Yes
3173,1,19.2,8.48,2.0,3.0,80.7,84.1,74.9,0.0,ECE,Male,Yes
3174,0,22.6,8.19,4.0,0.0,80.5,80.4,63.1,3.0,CSE,Female,Yes
3175,1,21.4,8.87,1.0,2.0,79.1,,80.3,1.0,ME,Male,No
3176,1,20.9,7.56,4.0,1.0,69.8,58.2,90.0,0.0,ECE,Male,
3177,0,21.8,8.1,1.0,3.0,57.1,64.8,82.4,1.0,ECE,Male,No
3178,0,20.4,7.5,0.0,4.0,61.3,50.7,67.9,1.0,Civil,Female,No
3179,1,21.0,6.81,1.0,2.0,84.2,49.6,78.8,0.0,Civil,Female,No
3180,1,21.6,8.03,3.0,3.0,59.7,62.5,83.1,1.0,ME,Female,Yes
3181,1,20.6,7.7,5.0,3.0,70.6,76.1,90.7,1.0,CSE,Female,Yes
3182,1,19.4,8.76,3.0,2.0,57.2,64.6,89.2,0.0,ECE,Male,Yes
3183,1,19.1,7.31,2.0,0.0,65.3,61.3,78.9,0.0,CSE,Male,Yes
3184,0,22.1,6.74,1.0,,52.9,74.4,78.9,2.0,CSE,Male,Yes
3185,0,21.5,8.74,2.0,2.0,67.0,27.9,87.3,2.0,,Female,No
3186,1,21.4,7.56,1.0,5.0,61.3,62.9,76.7,1.0,Civil,Male,Yes
3187,0,20.0,6.71,1.0,2.0,44.1,74.4,89.7,0.0,ECE,Male,No
3188,1,21.5,8.89,1.0,4.0,77.2,64.8,76.1,0.0,CSE,Male,No
3189,1,21.0,8.43,3.0,5.0,76.5,86.9,96.0,0.0,CSE,Male,No
3190,1,20.7,9.35,1.0,3.0,68.8,61.4,84.1,1.0,ECE,Male,No
3191,0,21.4,7.16,2.0,2.0,52.3,62.3,64.4,2.0,CSE,Male,No
3192,0,21.9,7.02,2.0,0.0,52.5,57.2,87.8,2.0,ECE,Female,Yes
3193,0,23.8,6.41,0.0,0.0,100.0,60.1,84.3,1.0,ECE,Female,Yes
3194,0,22.2,6.93,,1.0,31.3,73.6,86.4,0.0,Civil,Male,No
3195,0,22.6,7.11,2.0,2.0,52.7,80.5,100.0,0.0,CSE,Female,Yes
3196,1,22.9,8.18,0.0,1.0,98.1,98.0,79.6,1.0,CSE,Female,No
3197,1,20.5,6.57,3.0,3.0,100.0,77.5,68.0,0.0,Civil,,Yes
3198,1,21.1,6.84,0.0,3.0,91.8,150.0,93.4,0.0,ECE,Male,No
3199,1,20.3,9.2,2.0,3.0,75.4,86.1,66.0,2.0,CSE,Male,No
3200,0,20.6,5.0,1.0,3.0,59.1,76.3,75.3,0.0,CSE,Female,Yes
3201,0,20.9,7.98,1.0,4.0,44.4,70.4,82.4,0.0,ME,Female,No
3202,0,20.6,6.21,0.0,3.0,73.7,83.9,73.9,1.0,EEE,Male,Yes
3203,1,21.8,6.69,1.0,4.0,57.3,100.0,81.4,0.0,Civil,Male,Yes
3204,1,22.1,8.92,1.0,2.0,88.3,67.5,80.8,0.0,CSE,Female,No
3205,0,19.8,7.57,0.0,2.0,42.1,59.2,95.8,1.0,ME,Male,No
3206,1,21.1,10.0,1.0,3.0,70.8,87.3,60.2,0.0,EEE,Male,
3207,1,21.1,8.13,0.0,1.0,81.0,100.0,82.8,1.0,CSE,Male,No
3208,1,19.6,6.67,1.0,2.0,82.2,71.9,73.7,1.0,Civil,Male,Yes
3209,1,20.5,8.06,0.0,4.0,79.7,70.4,76.9,1.0,ECE,Male,Yes
3210,1,22.6,8.63,1.0,3.0,72.8,72.2,88.1,1.0,Civil,Male,Yes
3211,1,22.6,8.02,1.0,0.0,69.8,75.8,86.7,0.0,Civil,Male,Yes
3212,0,19.4,7.28,0.0,3.0,80.7,51.7,85.1,0.0,CSE,Male,No
3213,0,22.1,,2.0,1.0,72.8,74.0,70.7,0.0,ECE,Male,No
3214,1,19.6,7.18,1.0,6.0,73.2,73.6,92.7,0.0,ECE,Male,Yes
3215,1,21.0,9.17,0.0,6.0,68.5,72.8,74.1,0.0,EEE,Male,No
3216,0,21.4,6.7,1.0,1.0,62.6,72.2,94.5,1.0,ECE,Male,No
3217,0,22.5,7.09,,5.0,49.1,71.3,76.2,1.0,ME,Male,Yes
3218,1,21.3,8.49,3.0,2.0,51.5,42.7,91.3,0.0,CSE,Male,Yes
3219,1,20.2,8.12,3.0,1.0,62.6,60.6,82.9,0.0,EEE,Male,No
3220,0,20.0,6.19,2.0,3.0,66.3,81.1,66.9,1.0,CSE,Female,No
3221,1,21.7,7.39,,4.0,54.5,84.2,78.8,1.0,CSE,Male,Yes
3222,1,20.7,8.91,2.0,1.0,53.4,64.5,97.3,0.0,ME,Female,No
3223,0,21.0,7.53,0.0,1.0,62.9,57.6,89.4,2.0,CSE,Male,Yes
3224,1,22.8,8.93,4.0,0.0,80.6,79.3,78.1,0.0,CSE,Female,Yes
3225,1,22.1,8.99,1.0,1.0,38.3,73.5,93.7,1.0,CSE,Male,Yes
3226,0,23.6,6.57,0.0,2.0,54.9,68.4,84.5,0.0,ECE,Male,No
3227,0,20.2,7.2,0.0,3.0,70.3,81.2,96.8,0.0,CSE,Male,No
3228,0,20.6,8.16,0.0,2.0,86.0,54.7,81.3,1.0,EEE,Female,No
3229,1,21.7,5.96,5.0,2.0,98.3,85.1,,0.0,EEE,Male,Yes
3230,1,23.9,7.28,1.0,,63.2,50.5,90.9,0.0,CSE,Female,Yes
3231,1,20.5,8.05,1.0,5.0,63.0,59.3,84.3,0.0,ECE,Male,Yes
3232,1,21.5,6.88,2.0,1.0,66.1,56.5,87.0,0.0,CSE,Female,Yes
3233,1,23.2,8.09,0.0,1.0,71.2,62.4,74.2,0.0,EEE,Female,No
3234,0,21.6,6.9,2.0,3.0,67.4,74.0,92.5,0.0,ECE,Female,Yes
3235,1,22.8,6.89,0.0,2.0,69.6,78.8,90.8,1.0,CSE,Female,Yes
3236,1,24.0,8.24,1.0,5.0,49.3,68.9,94.2,0.0,CSE,Male,Yes
3237,0,21.9,8.87,2.0,0.0,44.7,53.4,69.8,1.0,CSE,Male,Yes
3238,0,22.1,6.79,1.0,5.0,78.0,44.0,71.5,1.0,EEE,Male,No
3239,0,22.5,6.29,1.0,2.0,65.3,81.0,75.3,1.0,CSE,Male,No
3240,0,20.3,7.46,0.0,2.0,79.7,79.4,79.8,1.0,CSE,Male,No
3241,0,19.6,7.97,0.0,1.0,71.1,83.9,70.0,1.0,CSE,Male,No
3242,0,21.7,6.78,2.0,3.0,47.9,68.3,87.7,1.0,Civil,Female,Yes
3243,1,20.7,9.16,1.0,1.0,89.7,78.7,78.1,2.0,EEE,Male,No
3244,1,22.9,7.35,,3.0,68.4,61.7,93.3,0.0,CSE,Male,Yes
3245,0,21.9,6.77,0.0,3.0,57.5,76.2,100.0,0.0,CSE,Male,No
3246,1,22.8,9.43,1.0,2.0,60.5,63.8,76.7,0.0,Civil,Female,No
3247,1,19.9,8.77,2.0,3.0,51.0,59.4,75.1,0.0,CSE,Male,No
3248,0,22.8,6.77,2.0,1.0,72.7,73.0,88.7,3.0,Civil,Male,Yes
3249,1,18.5,8.57,4.0,1.0,66.4,72.3,82.9,1.0,CSE,Female,No
3250,1,20.0,6.84,0.0,3.0,96.3,81.9,85.3,0.0,CSE,Male,No
3251,1,22.3,8.27,4.0,2.0,75.3,53.3,94.0,1.0,EEE,Female,
3252,1,20.8,9.28,3.0,3.0,95.4,82.1,79.6,1.0,ECE,Female,Yes
3253,0,21.0,6.29,1.0,3.0,54.5,71.7,72.4,2.0,Civil,Male,Yes
3254,1,21.6,6.96,1.0,2.0,63.4,83.9,70.9,0.0,ME,Female,Yes
3255,1,23.3,6.98,1.0,3.0,80.5,83.7,80.4,0.0,ECE,Female,Yes
3256,1,,7.77,4.0,1.0,76.2,38.4,78.8,0.0,EEE,Male,No
3257,1,23.1,7.97,3.0,,67.8,83.6,89.8,2.0,ME,Male,No
3258,1,23.2,7.41,1.0,2.0,52.9,84.2,94.5,1.0,,Female,Yes
3259,0,,5.82,0.0,3.0,37.5,,94.5,1.0,CSE,Female,No
3260,0,20.6,,1.0,1.0,,49.7,75.7,0.0,CSE,Male,Yes
3261,1,21.3,6.62,0.0,3.0,65.5,80.1,74.8,0.0,CSE,Female,Yes
3262,1,20.6,8.06,2.0,6.0,69.8,71.5,65.7,0.0,ME,Male,No
3263,0,21.9,6.1,1.0,0.0,47.8,61.6,82.0,0.0,ECE,Female,No
3264,1,22.1,6.59,2.0,3.0,150.0,88.7,90.0,0.0,CSE,Female,No
3265,1,19.5,,5.0,2.0,73.5,73.9,75.6,0.0,ME,Male,
3266,0,20.3,7.84,0.0,1.0,76.2,42.9,68.7,0.0,CSE,Female,Yes
3267,1,20.0,8.63,2.0,3.0,70.8,56.8,,0.0,ECE,Female,Yes
3268,1,21.8,7.65,1.0,1.0,63.1,83.6,75.7,,Civil,Male,Yes
3269,0,22.6,9.49,0.0,0.0,51.4,70.5,81.0,,ECE,Female,Yes
3270,1,20.1,7.65,0.0,1.0,81.4,60.6,77.8,0.0,CSE,Male,No
3271,1,22.6,7.41,2.0,6.0,78.2,75.9,70.0,1.0,ECE,Female,Yes
3272,0,20.3,6.72,1.0,1.0,60.0,62.1,,1.0,EEE,Female,Yes
3273,0,22.4,7.7,1.0,4.0,79.7,53.8,66.3,0.0,ECE,Male,No
3274,1,21.1,6.67,2.0,4.0,67.0,83.2,92.1,0.0,CSE,Female,No
3275,0,20.9,6.52,0.0,1.0,58.4,85.2,84.4,0.0,CSE,Male,No
3276,0,23.0,6.49,0.0,2.0,81.0,76.3,79.6,1.0,EEE,Female,No
3277,1,23.8,7.28,5.0,3.0,69.4,50.1,79.7,1.0,ECE,Male,Yes
3278,0,19.0,7.0,,1.0,62.0,94.1,86.1,1.0,ME,Male,Yes
3279,1,22.3,10.0,2.0,3.0,50.0,93.6,76.2,0.0,EEE,Female,No
3280,1,21.7,7.71,0.0,3.0,,86.5,83.6,1.0,ECE,Female,No
3281,1,22.4,7.69,,5.0,79.9,73.9,74.0,1.0,Civil,Male,No
3282,1,19.6,6.95,1.0,3.0,74.3,71.2,62.6,1.0,CSE,Female,Yes
3283,1,20.1,10.0,0.0,4.0,51.6,75.7,87.6,1.0,CSE,Female,Yes
3284,0,20.6,6.58,3.0,3.0,51.4,55.2,100.0,1.0,ECE,Female,No
3285,0,21.8,7.03,2.0,0.0,97.4,62.9,87.1,3.0,CSE,Male,Yes
3286,1,20.5,8.5,2.0,5.0,74.5,62.4,81.6,0.0,EEE,Male,No
3287,1,21.1,7.7,1.0,4.0,84.9,77.9,78.4,0.0,Civil,Male,No
3288,0,22.6,6.23,0.0,1.0,88.9,73.2,78.7,2.0,Civil,Female,No
3289,0,24.2,7.53,1.0,1.0,55.0,57.5,78.4,0.0,ECE,Male,Yes
3290,1,22.5,8.18,3.0,5.0,92.4,49.3,83.8,1.0,Civil,Female,Yes
3291,0,22.6,8.01,0.0,1.0,52.9,74.6,60.5,0.0,CSE,Female,Yes
3292,1,21.3,8.16,3.0,1.0,78.2,56.2,59.0,3.0,ECE,Male,No
3293,1,20.3,9.69,0.0,4.0,150.0,53.7,86.1,0.0,,Male,No
3294,1,21.1,7.77,3.0,4.0,78.1,97.3,80.2,1.0,CSE,,Yes
3295,1,21.4,8.3,1.0,1.0,65.1,100.0,73.1,0.0,CSE,Female,Yes
3296,0,20.0,5.08,1.0,2.0,75.7,64.2,,2.0,Civil,Male,Yes
3297,1,22.6,9.37,4.0,1.0,87.1,46.3,,0.0,ME,Female,No
3298,1,23.5,7.56,3.0,2.0,83.7,85.7,78.2,0.0,EEE,Male,No
3299,0,21.7,6.63,2.0,2.0,67.1,74.4,94.8,0.0,CSE,Female,Yes
3300,1,22.9,7.3,1.0,2.0,54.7,80.0,72.4,0.0,CSE,Female,No
